dataset,architecture,eps,method,timeout_s,configurations,observed_instances,missing_instances,crashed_instances,average_time_s,total_time_h
cifar10,cnn5,0.00784313725490196,crown_ibp_nofusion,300,9,9000,0,0,6.0925984041161,15.231496010290252
cifar10,cnn5,0.00784313725490196,mtl_ibp,300,11,11000,0,0,10.95639620085196,33.477877280380994
cifar10,cnn5,0.00784313725490196,sabr,300,11,11000,0,0,9.182244866241108,28.056859313514497
cifar10,cnn5,0.00784313725490196,shi,300,10,10000,0,0,2.234810352396965,6.207806534436014
cifar10,cnn7,0.00784313725490196,crown_ibp_nofusion,1000,10,100000,0,210,29.096986791591643,808.249633099768
cifar10,cnn7,0.00784313725490196,mtl_ibp,1000,10,100000,0,12,47.3290806785202,1314.69668551445
cifar10,cnn7,0.00784313725490196,sabr,1000,11,110000,0,0,51.87931742631955,1585.2013658042088
cifar10,cnn7,0.00784313725490196,shi,1000,11,110000,0,0,7.376165099560131,225.38282248655955
cifar10,cnn7,0.03137254901960784,crown_ibp_nofusion,1000,8,80000,0,0,9.059909173822403,201.33131497383118
cifar10,cnn7,0.03137254901960784,mtl_ibp,1000,12,120000,0,0,11.69033537560304,389.6778458534347
cifar10,cnn7,0.03137254901960784,sabr,1000,12,120000,0,0,15.480839034080505,516.0279678026835
cifar10,cnn7,0.03137254901960784,shi,1000,13,130000,0,0,13.638516844312962,492.5019971557458
cifar10,cnn9,0.00784313725490196,crown_ibp_nofusion,300,7,7000,0,7,8.15363961321967,15.854299247927136
cifar10,cnn9,0.00784313725490196,mtl_ibp,300,11,11000,0,154,17.636510714249177,53.889338293539154
cifar10,cnn9,0.00784313725490196,sabr,300,13,13000,0,18,18.801484167539158,67.89424838278029
cifar10,cnn9,0.00784313725490196,shi,300,15,15000,0,0,3.7709184626897176,15.712160261207156
cifar10,narrow_cnn7,0.00784313725490196,crown_ibp_nofusion,300,13,13000,0,0,5.270271213824932,19.031534938812257
cifar10,narrow_cnn7,0.00784313725490196,mtl_ibp,300,10,10000,0,0,15.987124278402328,44.40867855111758
cifar10,narrow_cnn7,0.00784313725490196,sabr,300,12,12000,0,0,13.438951477428278,44.796504924760924
cifar10,narrow_cnn7,0.00784313725490196,shi,300,11,11000,0,0,2.6284777144085276,8.031459682914946
cifar10,wide_cnn7,0.00784313725490196,crown_ibp_nofusion,300,9,9000,0,110,12.656655900690291,31.641639751725727
cifar10,wide_cnn7,0.00784313725490196,mtl_ibp,300,7,7000,0,257,27.558708901371276,53.58637841933304
cifar10,wide_cnn7,0.00784313725490196,sabr,300,13,13000,0,19,21.98311454609724,79.38346919424004
cifar10,wide_cnn7,0.00784313725490196,shi,300,14,14000,0,0,4.622488350204059,17.976343584126898
mnist,cnn7,0.3,crown_ibp_nofusion,300,4,4000,0,0,1.8519279490113258,2.0576977211236955
mnist,cnn7,0.3,mtl_ibp,300,2,2000,0,0,5.934632596135139,3.2970181089639663
mnist,cnn7,0.3,sabr,300,7,7000,0,0,4.302010213034493,8.365019858678181
mnist,cnn7,0.3,shi,300,5,5000,0,0,3.0109627167224886,4.181892662114567
tinyimagenet,cnn7,0.00392156862745098,crown_ibp,1000,5,50000,0,16,15.4339290396595,214.36012555082638
tinyimagenet,cnn7,0.00392156862745098,mtl_ibp,1000,2,20000,0,0,37.418629141545296,207.88127300858497
tinyimagenet,cnn7,0.00392156862745098,sabr,1000,7,70000,0,0,45.664641897095954,887.9235924435325
tinyimagenet,cnn7,0.00392156862745098,shi,1000,9,90000,0,121,17.664240603579415,441.60601508948537
